target,query
0,my tsp
0,define serum
1,inflammatory disease nutrition
1,surgical procedure orchiectomy
1,behavioral sciences psychology ethnopsychology
0,shoppers drug mart cromdale t5b 0r9
1,amqui sc metabolism and endocrinology speciality
1,surgical procedure aortocoronary bypass
1,gluten allergy test
0,day care center in new york
0,pharmasave brighton
0,master of business administration
